Size,IsPublic,GFA,AirconFA,Occupancy,ChillerType,ChillerAge,ChillerEff,ChillerAudit,LED,EUI,Age,TotalEnergy,NonAirconFA
Large,No,18565.0,14852.0,100.0,"Others (Split Units, Unitary Systems)",9.0,,,0.0,200.8,9.0,3727.85,3713.0
Small,No,9374.0,7592.94,92.0,"Others (Split Units, Unitary Systems)",9.0,,,0.0,168.4,11.0,1578.58,1781.06
Small,No,2066.0,1342.9,92.0,Water Cooled Chilled Water Plant,2.0,,,0.0,107.1,28.0,221.27,723.1
Small,Yes,3062.0,2755.8,100.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,101.9,17.0,312.02,306.2
Small,No,1331.0,1131.35,80.0,"Others (Split Units, Unitary Systems)",16.0,,,40.0,246.0,22.0,327.43,199.65
Large,No,27810.0,19188.9,95.0,Water Cooled Chilled Water Plant,11.0,0.8,3.0,0.0,362.7,32.0,10086.69,8621.1
Small,No,2093.0,2093.0,100.0,"Others (Split Units, Unitary Systems)",5.0,,,3.0,302.6,7.0,633.34,0.0
Small,Yes,10678.0,8969.52,100.0,Water Cooled Chilled Water Plant,11.0,,,70.0,248.4,31.0,2652.42,1708.48
Large,No,43367.0,30356.9,94.0,Water Cooled Chilled Water Plant,18.0,,,20.0,248.6,43.0,10781.04,13010.1
Small,No,1980.0,1584.0,95.0,"Others (Split Units, Unitary Systems)",6.0,0.75,1.0,0.0,158.7,7.0,314.23,396.0
Small,No,4880.0,4489.6,5.0,Air Cooled Chilled Water Plant,20.0,,,0.0,62.0,25.0,302.56,390.4
Large,Yes,55206.0,40852.44,100.0,Water Cooled Chilled Water Plant,0.0,1.13,4.0,35.0,139.3,33.0,7690.2,14353.56
Large,Yes,15423.0,8791.11,100.0,Water Cooled Chilled Water Plant,14.0,,,1.0,188.6,17.0,2908.78,6631.89
Small,No,2099.0,2057.02,85.0,"Others (Split Units, Unitary Systems)",6.0,,,0.0,329.5,29.0,691.62,41.98
Large,No,48302.0,41056.7,99.0,"Others (Split Units, Unitary Systems)",0.0,,,17.0,174.3,15.0,8419.04,7245.3
Large,No,30915.0,25659.45,88.0,Water Cooled Chilled Water Plant,20.0,0.85,,99.0,171.9,21.0,5314.29,5255.55
Small,No,8908.0,8908.0,100.0,Water Cooled Chilled Water Plant,1.0,0.58,,10.0,305.4,20.0,2720.5,0.0
Large,Yes,17226.0,15675.66,95.0,Water Cooled Chilled Water Plant,4.0,0.62,2.0,56.0,449.1,17.0,7736.2,1550.34
Small,No,3000.0,2490.0,85.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,172.0,27.0,516.0,510.0
Large,No,55092.0,31402.44,100.0,Water Cooled Chilled Water Plant,0.0,0.81,6.0,20.0,212.1,20.0,11685.01,23689.56
Small,No,3086.0,3086.0,100.0,Water Cooled Chilled Water Plant,12.0,,,0.0,388.1,35.0,1197.68,0.0
Small,Yes,8214.0,5667.66,70.0,Water Cooled Chilled Water Plant,19.0,,,4.0,362.6,21.0,2978.4,2546.34
Large,Yes,58783.0,58783.0,85.0,Water Cooled Chilled Water Plant,8.0,0.81,2.0,48.0,221.3,13.0,13008.68,0.0
Large,No,24089.0,23607.22,100.0,Water Cooled Chilled Water Plant,7.0,0.65,3.0,0.0,228.5,9.0,5504.34,481.78
Small,No,4164.0,3997.44,60.0,"Others (Split Units, Unitary Systems)",2.0,,,0.0,127.5,4.0,530.91,166.56
Small,Yes,1314.0,1195.74,100.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,156.0,6.0,204.98,118.26
Large,Yes,16262.0,15448.9,75.0,District Cooling Plant,20.0,,,85.0,102.0,15.0,1658.72,813.1
Large,Yes,15996.0,14076.48,100.0,District Cooling Plant,20.0,,,85.0,133.8,18.0,2140.26,1919.52
Large,Yes,19040.0,14089.6,80.0,District Cooling Plant,0.0,,,85.0,102.3,17.0,1947.79,4950.4
Large,Yes,33123.0,26167.17,100.0,Water Cooled Chilled Water Plant,4.0,,,0.0,286.7,3.0,9496.36,6955.83
Large,Yes,28800.0,21024.0,84.0,Water Cooled Chilled Water Plant,4.0,0.65,,75.0,303.0,6.0,8726.4,7776.0
Large,Yes,22485.0,11692.2,65.0,Water Cooled Chilled Water Plant,1.0,0.6,,32.0,157.0,4.0,3530.14,10792.8
Large,Yes,56527.0,54265.92,85.0,Water Cooled Chilled Water Plant,14.0,0.9,9.0,0.0,141.9,18.0,8021.18,2261.08
Large,Yes,26248.0,9711.76,40.0,"Others (Split Units, Unitary Systems)",4.0,,,0.0,67.7,43.0,1776.99,16536.24
Large,No,68836.0,59887.32,80.0,Water Cooled Chilled Water Plant,11.0,0.66,1.0,20.0,104.4,41.0,7186.48,8948.68
Large,No,28602.0,21737.52,80.0,Water Cooled Chilled Water Plant,6.0,0.61,,0.0,163.3,17.0,4670.71,6864.48
Large,No,28533.0,25965.03,75.0,Water Cooled Chilled Water Plant,1.0,0.55,2.0,80.0,161.3,23.0,4602.37,2567.97
Small,No,9014.0,1983.08,10.0,"Others (Split Units, Unitary Systems)",2.0,,,0.0,101.7,4.0,916.72,7030.92
Small,No,2500.0,2000.0,100.0,"Others (Split Units, Unitary Systems)",10.0,,,0.0,38.1,47.0,95.25,500.0
Large,No,19225.0,15380.0,60.0,District Cooling Plant,16.0,,,0.0,93.6,16.0,1799.46,3845.0
